question_id,type,difficulty,topic,question,option_a,option_b,option_c,option_d,correct_option,
881,Saving & Spending,MCQ,Hard,A student receives a bonus and spends it immediately. What principle is being ignored?,Emergency planning,Delayed gratification,Passive income,Budget review,B,
882,Budgeting,MCQ,Hard,Why should budgets be adjusted when income changes?,To increase work,To maintain financial balance,To stop saving,To raise expenses,B,
883,Digital Payments,MCQ,Medium,Why should payment app permissions be checked regularly?,To save battery,To limit data misuse,To speed transactions,To increase rewards,B,
884,Interest,True or False,Hard,Compound interest benefits early investors more than late investors?,TRUE,FALSE,,,A,
885,Loans & Credit,MCQ,Hard,What happens when loan tenure is increased without changing rate?,EMI increases,Total interest increases,Loan ends early,Risk disappears,B,
886,Investment,MCQ,Hard,Ignoring asset allocation in investing leads to what problem?,Guaranteed loss,Unbalanced risk exposure,Faster growth,Higher liquidity,B,
887,Inflation,MCQ,Hard,If inflation stays higher than returns for many years what is the result?,Wealth grows,Wealth remains same,Wealth declines,Wealth doubles,C,
888,Frauds & Financial Safety,True or False,Medium,Fraud attempts often create urgency to force quick decisions?,TRUE,FALSE,,,A,
889,Taxation,MCQ,Hard,Why is tax saving planning usually done before financial year ends?,To earn interest,To reduce taxable income legally,To avoid income,To increase expenses,B,
890,Entrepreneurship,MCQ,Hard,A business grows revenue but cash flow remains weak. What is the main issue?,Low demand,Poor cash management,High profit,Strong pricing,B,
891,Saving & Spending,MCQ,Hard,A student prioritizes wants over needs regularly. What is the most likely long term outcome?,Faster happiness,Financial instability,Higher savings,Better control,B,
892,Budgeting,MCQ,Hard,Why should fixed expenses be reviewed periodically in a budget?,They never change,Income may change,To increase spending,To remove savings,B,
893,Digital Payments,True or False,Medium,Using biometric authentication improves payment security?,TRUE,FALSE,,,A,
894,Interest,MCQ,Hard,An investment grows slowly at first then faster later. What explains this pattern?,Simple interest,Compounding effect,Rate reduction,Inflation drop,B,
895,Loans & Credit,MCQ,Hard,Why is missing even one loan payment risky?,EMI increases,Credit score impact,Loan ends early,Interest stops,B,
896,Investment,MCQ,Hard,Investing without a clear goal usually leads to what problem?,Guaranteed loss,Poor decision making,Higher returns,Faster growth,B,
897,Inflation,True or False,Hard,Rising inflation makes future financial planning more important?,TRUE,FALSE,,,A,
898,Frauds & Financial Safety,MCQ,Hard,A fraud call asks for secrecy and urgency. Why is this dangerous?,It saves time,It blocks verification,It increases rewards,It lowers risk,B,
899,Taxation,MCQ,Hard,Why does higher tax slab reduce take home income growth?,Lower salary,Higher deductions,Higher tax rate,Reduced savings,C,
900,Entrepreneurship,MCQ,Hard,A startup focuses only on sales and ignores costs. What is the biggest risk?,Fast growth,Profit loss,Strong branding,Customer trust,B,
901,Saving & Spending,MCQ,Hard,A student receives 10000 as a one-time scholarship and expects no income for the next 3 months. Which option best balances spending and saving?,Spend most now and save later,Save the entire amount,Allocate money monthly for essentials and save the rest,Spend on non-essentials while prices are low,C,
902,Budgeting,MCQ,Hard,A monthly budget shows expenses always exceeding income even after cutting wants. What is the most logical next step?,Ignore the budget,Use credit cards regularly,Increase income or reduce fixed costs,Stop tracking expenses,C,
903,Banking,True/False,Medium,Keeping large amounts of money idle in a savings account for many years may reduce its real value due to inflation.,TRUE,FALSE,,,A,
904,Digital Payments,MCQ,Hard,A user receives a UPI collect request from an unknown person marked as refund. What is the safest action?,Approve to check details,Reject and report the request,Ask sender for OTP,Pay a small amount first,B,
905,Interest,MCQ,Hard,Two banks offer 10% annual interest: Bank A uses simple interest Bank B uses compound interest annually. After 3 years which statement is correct?,Both give same amount,Bank A gives more,Bank B gives more,Cannot be compared,C,
906,Loans & Credit,True/False,Medium,Even a low-interest loan can become expensive if the repayment period is very long.,TRUE,FALSE,,,A,
907,Insurance,MCQ,Medium,Why is health insurance more critical than life insurance for a teenager with dependent parents?,Premiums are cheaper,Medical emergencies are unpredictable,It gives higher returns,It replaces savings,B,
908,Investment,MCQ,Hard,Which factor most strongly affects long-term investment returns?,Daily price changes,Timing the market perfectly,Staying invested over time,Investing large amounts at once,C,
909,Inflation,True/False,Hard,If inflation is 6% and your savings grow at 5% your real wealth increases.,TRUE,FALSE,,,B,
910,Frauds & Financial Safety,MCQ,Hard,Which situation shows a phishing attempt rather than a genuine bank communication?,Asking to visit branch with ID,Email asking for login details via link,SMS about failed transaction,App notification after payment,B,
911,Saving & Spending,MCQ,Hard,A student has fixed expenses for food and travel every month and limited income. Which action best improves financial stability over time?,Reduce savings to spend more,Track expenses and cut unnecessary costs,Borrow small amounts regularly,Ignore small daily expenses,B,
912,Budgeting,MCQ,Hard,A budget shows higher spending during exam months due to coaching fees. What is the smartest adjustment?,Remove savings permanently,Increase budget only for that period,Stop tracking budget,Take a loan every exam month,B,
913,Banking,MCQ,Medium,Why is keeping money in multiple bank accounts sometimes useful?,It always increases interest,It reduces all risks completely,It helps manage risk and access,Banks require it by law,C,
914,Digital Payments,True or False,Medium,Using the same password for multiple payment apps increases security risk?,TRUE,FALSE,,,A,
915,Interest,MCQ,Hard,If interest is compounded annually then the interest earned each year increases because?,Principal reduces,Interest adds to previous interest,Rate changes automatically,Time becomes shorter,B,
916,Loans & Credit,MCQ,Hard,A person pays only the minimum amount due on a credit bill each month. What is the most likely result?,Loan ends faster,Total interest paid increases,Credit score improves instantly,Repayment time decreases,B,
917,Insurance,True or False,Medium,Insurance is most useful for events that are rare but cause high financial loss?,TRUE,FALSE,,,A,
918,Investment,MCQ,Hard,An investor chooses to diversify investments. What is the main reason?,To guarantee profit,To reduce overall risk,To avoid taxes,To increase short term gains,B,
919,Inflation,MCQ,Hard,If prices rise faster than income over many years what happens to standard of living?,It improves,It remains same,It decreases,It becomes unpredictable,C,
920,Frauds & Financial Safety,MCQ,Hard,Which action best protects against online financial fraud?,Sharing details with friends,Ignoring app updates,Verifying sources before clicking,Responding quickly to unknown calls,C,
921,Saving & Spending,MCQ,Hard,A student saves money every month but often withdraws it for wants. What is the biggest long term problem with this habit?,Lower bank balance,No interest earned,Failure to build real savings,Increased spending power,C,
922,Budgeting,MCQ,Hard,A person follows a budget but ignores irregular expenses like repairs. What is the most likely outcome?,Budget always balances,Sudden financial stress,Higher savings,Better planning accuracy,B,
923,Banking,True or False,Medium,Keeping money in a bank account is safer than storing large cash amounts at home?,TRUE,FALSE,,,A,
924,Digital Payments,MCQ,Hard,A payment app shows a failed transaction but money is debited. What is the best first action?,Panic and repay,Contact bank or app support,Share details online,Ignore the issue,B,
925,Interest,MCQ,Hard,Two investments have the same rate and time but one compounds annually and the other quarterly. Which gives higher returns?,Annual compounding,Quarterly compounding,Both same,Cannot be determined,B,
926,Loans & Credit,MCQ,Hard,Why is taking multiple small loans at the same time risky?,Easier repayment,Lower interest,Higher combined repayment burden,Better credit score,C,
927,Insurance,MCQ,Medium,Why do people pay insurance premiums regularly even if they may not claim?,To earn interest,To avoid saving,For financial protection,To increase income,C,
928,Investment,True or False,Hard,Investing only in one asset type increases financial risk?,TRUE,FALSE,,,A,
929,Inflation,MCQ,Hard,If income remains constant while inflation rises steadily what happens over time?,Purchasing power increases,Purchasing power stays same,Purchasing power decreases,Wealth doubles,C,
930,Frauds & Financial Safety,MCQ,Hard,A message promises reward money for clicking a link. What should be done first?,Click quickly,Share with friends,Verify from official source,Reply to sender,C,
931,Saving & Spending,MCQ,Hard,A student increases income but spending rises at the same rate. What happens to savings over time?,Savings increase,Savings stay same,Savings do not improve,Savings double,C,
932,Budgeting,MCQ,Hard,A budget is reviewed only once a year. What is the biggest risk of this approach?,Less paperwork,Missed spending issues,Higher savings,Better control,B,
933,Banking,MCQ,Medium,Why is maintaining a minimum bank balance important?,To earn rewards,To avoid penalties,To increase interest rate,To get loans faster,B,
934,Digital Payments,True or False,Hard,Approving a collect request on a payment app always means receiving money?,TRUE,FALSE,,,B,
935,Interest,MCQ,Hard,An investment earns compound interest. Why does time matter more than rate in long term growth?,Rate stays fixed,Growth accelerates over time,Interest stops later,Principal reduces,B,
936,Loans & Credit,MCQ,Hard,What is the main danger of delaying loan repayments frequently?,Lower monthly cost,Reduced stress,Increased total interest,Faster loan closure,C,
937,Insurance,MCQ,Medium,Why should insurance coverage be reviewed periodically?,To cancel policy,To match changing needs,To avoid claims,To reduce paperwork,B,
938,Investment,MCQ,Hard,An investor reacts emotionally to market falls and sells quickly. What is the likely result?,Higher long term returns,Reduced risk,Poor investment outcomes,Guaranteed profit,C,
939,Inflation,True or False,Hard,If inflation stays low then long term savings planning is unnecessary?,TRUE,FALSE,,,B,
940,Frauds & Financial Safety,MCQ,Hard,A call claims urgent account verification is needed. What is the safest response?,Share details quickly,Hang up and contact bank,Follow instructions,Transfer small amount,B,
941,Saving & Spending,MCQ,Hard,A student saves regularly but uses savings for impulse purchases. What is the main long term impact?,Better flexibility,Loss of financial discipline,Higher interest,Faster goal achievement,B,
942,Budgeting,MCQ,Hard,Why should emergency expenses be included while planning a budget?,They never occur,They reduce income,They prevent sudden financial pressure,They increase spending,C,
943,Banking,True or False,Medium,Bank deposits are generally safer than keeping large cash at home?,TRUE,FALSE,,,A,
944,Digital Payments,MCQ,Hard,A user enters payment details on a fake website. What risk is highest?,Slower payment,Data theft,App crash,Payment delay,B,
945,Interest,MCQ,Hard,Why does compound interest benefit long term savers more than short term savers?,Interest rate is higher,Time increases growth effect,Principal stays constant,Interest stops later,B,
946,Loans & Credit,MCQ,Hard,A borrower frequently misses due dates but pays later. What is the likely effect?,Lower interest,No impact,Credit score damage,Loan cancellation,C,
947,Insurance,True or False,Medium,Insurance helps transfer financial risk from individual to insurer?,TRUE,FALSE,,,A,
948,Investment,MCQ,Hard,Why is long term investing usually preferred over frequent trading?,Less paperwork,Lower emotional decisions,Guaranteed profits,No risk,B,
949,Inflation,MCQ,Hard,If inflation rises faster than savings growth what happens to future purchasing power?,It increases,It stays same,It decreases,It doubles,C,
950,Frauds & Financial Safety,MCQ,Hard,A message claims prize money and asks for bank details. What should be done?,Reply immediately,Share details,Delete and report,Forward to friends,C,
951,Saving & Spending,MCQ,Hard,A student increases savings rate but income remains fixed. What must change to sustain this habit long term?,Borrow money,Reduce unnecessary spending,Stop saving later,Increase wants,B,
952,Budgeting,MCQ,Hard,A budget ignores future goals like college fees. What is the biggest risk?,Short term comfort,Poor long term planning,Higher income,Lower expenses,B,
953,Digital Payments,True or False,Medium,Entering payment details on unsecured websites increases financial risk?,TRUE,FALSE,,,A,
954,Interest,MCQ,Hard,If compounding frequency increases while rate stays same what happens to final amount?,It decreases,It remains same,It increases,It becomes zero,C,
955,Loans & Credit,MCQ,Hard,A borrower takes a new loan to repay an old one repeatedly. What is this situation called?,Smart refinancing,Debt trap,Credit building,Asset creation,B,
956,Investment,MCQ,Hard,Why does starting investments early give advantage even with small amounts?,Higher risk,More time for compounding,Guaranteed returns,Lower inflation,B,
957,Inflation,True or False,Hard,Inflation affects savers more than spenders in the long term?,TRUE,FALSE,,,A,
958,Frauds & Financial Safety,MCQ,Hard,A fraud message creates urgency and fear. Why is this effective?,It offers rewards,It reduces logical thinking,It increases trust,It improves security,B,
959,Taxation,MCQ,Medium,Why should individuals understand basic income tax rules early?,To avoid earning,To plan finances better,To stop saving,To increase spending,B,
960,Entrepreneurship,MCQ,Hard,A student starts a small business without studying demand. What is the biggest risk?,High profit,Business failure,Faster growth,Low effort,B,
961,Saving & Spending,MCQ,Hard,A student plans to save for a laptop in one year. What is the most effective first step?,Buy accessories now,Estimate total cost and monthly saving,Borrow from friends,Wait for discounts only,B,
962,Budgeting,MCQ,Hard,A budget shows surplus every month but savings remain low. What is the most likely reason?,Income is low,Savings not allocated deliberately,Expenses are fixed,Inflation is zero,B,
963,Digital Payments,MCQ,Medium,Why should payment app notifications be reviewed regularly?,To reduce phone storage,To track errors or fraud,To increase rewards,To speed payments,B,
964,Interest,True or False,Hard,Higher compounding frequency always leads to higher total interest when rate and time are same?,TRUE,FALSE,,,A,
965,Loans & Credit,MCQ,Hard,What happens if credit is used for regular consumption instead of emergencies?,Wealth increases,Financial stress increases,Savings grow,Risk disappears,B,
966,Investment,MCQ,Hard,An investor ignores inflation while planning returns. What is the main mistake?,Overestimating real growth,Reducing risk,Increasing liquidity,Shortening time,A,
967,Inflation,MCQ,Hard,If inflation averages six percent annually what happens to money value over long periods?,It grows faster,It stays constant,It erodes steadily,It becomes irrelevant,C,
968,Frauds & Financial Safety,True or False,Medium,Scammers often use official looking messages to gain trust?,TRUE,FALSE,,,A,
969,Taxation,MCQ,Hard,Why can delaying tax planning increase financial burden later?,Lower income,Missed exemptions,Higher savings,Reduced paperwork,B,
970,Entrepreneurship,MCQ,Hard,A student business prices products without calculating costs. What is the biggest danger?,Faster sales,Operating at a loss,Brand growth,Customer loyalty,B,
971,Saving & Spending,MCQ,Hard,A student increases income through freelancing but lifestyle expenses also rise. What concept explains this problem?,Forced saving,Lifestyle inflation,Budget surplus,Passive income,B,
972,Budgeting,MCQ,Hard,Why should long term goals be broken into monthly budget targets?,To reduce effort,To make goals achievable,To avoid saving,To increase spending,B,
973,Digital Payments,True or False,Medium,Saving card details on unsecured websites increases fraud risk?,TRUE,FALSE,,,A,
974,Interest,MCQ,Hard,An investment doubles faster due to compounding. What factor mainly causes this effect?,Higher tax,Time and reinvestment,Fixed principal,Lower rate,B,
975,Loans & Credit,MCQ,Hard,Why is credit card interest usually higher than loan interest?,Shorter tenure,Unsecured nature,Government rules,Higher limits,B,
976,Investment,MCQ,Hard,An investor chooses safety only and ignores growth. What risk does this create over time?,Market loss,Inflation risk,Liquidity risk,Default risk,B,
977,Inflation,True or False,Hard,Inflation impacts future expenses more than present expenses?,TRUE,FALSE,,,A,
978,Frauds & Financial Safety,MCQ,Hard,A scam message avoids giving verifiable contact details. Why is this a warning sign?,It saves time,It prevents verification,It increases trust,It is legal,B,
979,Taxation,MCQ,Hard,Why does higher income without tax planning reduce net savings?,More spending,Higher tax outflow,Lower income,Fewer goals,B,
980,Entrepreneurship,MCQ,Hard,A student business grows sales but profits remain low. What is the most likely issue?,Weak demand,Poor cost control,High marketing,Low effort,B,
981,Saving & Spending,MCQ,Hard,A student receives a bonus and spends it immediately. What principle is being ignored?,Emergency planning,Delayed gratification,Passive income,Budget review,B,
982,Budgeting,MCQ,Hard,Why should budgets be adjusted when income changes?,To increase work,To maintain financial balance,To stop saving,To raise expenses,B,
983,Digital Payments,MCQ,Medium,Why should payment app permissions be checked regularly?,To save battery,To limit data misuse,To speed transactions,To increase rewards,B,
984,Interest,True or False,Hard,Compound interest benefits early investors more than late investors?,TRUE,FALSE,,,A,
985,Loans & Credit,MCQ,Hard,What happens when loan tenure is increased without changing rate?,EMI increases,Total interest increases,Loan ends early,Risk disappears,B,
986,Investment,MCQ,Hard,Ignoring asset allocation in investing leads to what problem?,Guaranteed loss,Unbalanced risk exposure,Faster growth,Higher liquidity,B,
987,Inflation,MCQ,Hard,If inflation stays higher than returns for many years what is the result?,Wealth grows,Wealth remains same,Wealth declines,Wealth doubles,C,
988,Frauds & Financial Safety,True or False,Medium,Fraud attempts often create urgency to force quick decisions?,TRUE,FALSE,,,A,
989,Taxation,MCQ,Hard,Why is tax saving planning usually done before financial year ends?,To earn interest,To reduce taxable income legally,To avoid income,To increase expenses,B,
990,Entrepreneurship,MCQ,Hard,A business grows revenue but cash flow remains weak. What is the main issue?,Low demand,Poor cash management,High profit,Strong pricing,B,
991,Saving & Spending,MCQ,Hard,A student prioritizes wants over needs regularly. What is the most likely long term outcome?,Faster happiness,Financial instability,Higher savings,Better control,B,
992,Budgeting,MCQ,Hard,Why should fixed expenses be reviewed periodically in a budget?,They never change,Income may change,To increase spending,To remove savings,B,
993,Digital Payments,True or False,Medium,Using biometric authentication improves payment security?,TRUE,FALSE,,,A,
994,Interest,MCQ,Hard,An investment grows slowly at first then faster later. What explains this pattern?,Simple interest,Compounding effect,Rate reduction,Inflation drop,B,
995,Loans & Credit,MCQ,Hard,Why is missing even one loan payment risky?,EMI increases,Credit score impact,Loan ends early,Interest stops,B,
996,Investment,MCQ,Hard,Investing without a clear goal usually leads to what problem?,Guaranteed loss,Poor decision making,Higher returns,Faster growth,B,
997,Inflation,True or False,Hard,Rising inflation makes future financial planning more important?,TRUE,FALSE,,,A,
998,Frauds & Financial Safety,MCQ,Hard,A fraud call asks for secrecy and urgency. Why is this dangerous?,It saves time,It blocks verification,It increases rewards,It lowers risk,B,
999,Taxation,MCQ,Hard,Why does higher tax slab reduce take home income growth?,Lower salary,Higher deductions,Higher tax rate,Reduced savings,C,
1000,Entrepreneurship,MCQ,Hard,A business grows revenue but cash flow remains weak. What is the main issue?,Low demand,Poor cash management,High profit,Strong pricing,B,
